Episode,Reward,Epsilon,Duration
0,0,0.45578965137338945,0.0058383941650390625
1,0,0.45179666078225134,0.005746603012084961
2,0,0.4478473774996976,0.008361577987670898
3,0,0.44394132310516055,0.8910679817199707
4,0,0.4400780244148691,0.006104707717895508
5,0,0.4362570134245245,0.9032130241394043
6,0,0.4324778272526081,1.4030566215515137
7,0,0.428740008084305,0.8878154754638672
8,0,0.42504310311604676,0.0069675445556640625
9,0,0.4213866645006549,0.008327245712280273
10,0,0.41777024929309126,1.3927154541015625
11,1,0.41419341939679677,0.007283449172973633
12,0,0.4106557415106217,0.01028895378112793
13,1,0.40715678707633396,0.007709503173828125
14,0,0.40369613222670364,1.3919060230255127
15,1,0.4002733577341552,0.007463932037353516
16,1,0.3968880489599813,0.005936861038208008
17,1,0.3935397958041137,1.396376609802246
18,0,0.39022819265544273,0.0057523250579833984
19,0,0.38695283834268157,0.005425453186035156
20,0,0.38371333608576763,0.9023728370666504
21,0,0.38050929344779616,1.389040231704712
22,0,0.37734032228747993,0.005665779113769531
23,0,0.37420603871212954,0.8937201499938965
24,3,0.37110606303114857,0.9019408226013184
25,1,0.36804001971003675,1.3908584117889404
26,2,0.36500753732489744,0.007174015045166016
27,0,0.3620082485174434,0.8939225673675537
28,1,0.3590417899504943,0.9039065837860107
29,0,0.35610780226396144,1.3893475532531738
30,1,0.35320593003131484,0.005830526351928711
31,1,0.350335821716526,0.008377790451049805
32,0,0.34749712963148327,1.3944826126098633
33,0,0.3446895098938714,0.006937265396118164
34,0,0.34191262238551445,0.007240772247314453
35,0,0.3391661307111725,0.9040429592132568
36,0,0.3364497021577906,1.3954274654388428
37,1,0.3337630076541943,0.005625247955322266
38,1,0.3311057217312244,0.8941361904144287
39,1,0.3284775224823103,0.9034903049468994
40,10,0.325878091524473,1.4036784172058105
41,14,0.32330711395975664,0.00601649284362793
42,14,0.32076427833708065,0.006293535232543945
43,15,0.3182492766145113,0.9032192230224609
