Episode,Reward,Epsilon,Duration
0,6,0.160362144099065,1.3929002285003662
1,4,0.15960290548654954,0.007358551025390625
2,1,0.15885197750627045,0.006593227386474609
3,4,0.15810926918997742,0.9051039218902588
4,0,0.1573746905651593,1.3984251022338867
5,0,0.15664815264414494,0.007236480712890625
6,0,0.15592956741332278,0.0066907405853271484
7,2,0.1552188478224792,1.3992881774902344
8,6,0.15451590777425286,0.007039308547973633
9,4,0.15382066211370476,0.00714564323425293
10,4,0.15313302661800282,0.9027280807495117
11,5,0.15245291798621852,1.3931949138641357
12,4,0.1517802538292362,0.007124900817871094
13,4,0.1511149526597721,0.006891727447509766
14,3,0.15045693388250286,0.9041366577148438
15,3,0.14980611778430236,1.4041838645935059
16,0,0.14916242552458492,0.006844282150268555
17,6,0.1485257791257546,0.007042884826660156
18,2,0.1478961014637589,0.9034895896911621
19,1,0.1472733162587458,1.404416561126709
20,0,0.14665734806582326,0.005837202072143555
21,4,0.1460481222659196,0.9025650024414062
22,1,0.14544556505674414,1.398926019668579
23,5,0.1448496034438467,0.007088422775268555
24,5,0.14426016523177498,0.007600069046020508
25,6,0.14367717901532867,0.009150981903076172
26,7,0.14310057417090943,1.400972843170166
27,0,0.14253028084796537,0.007386207580566406
28,8,0.14196622996052935,0.007019758224487305
29,3,0.14140835317884987,0.9009954929351807
30,6,0.1408565829211133,1.4039616584777832
31,3,0.14031085234525734,0.007197380065917969
32,3,0.13977109534087326,0.005989551544189453
33,2,0.1392372465211975,0.9034366607666016
34,3,0.13870924121519063,1.3805952072143555
35,1,0.13818701545970286,0.005414724349975586
36,3,0.1376705059917256,0.9036550521850586
37,4,0.13715965024072768,1.3910443782806396
38,3,0.13665438632107554,0.0059032440185546875
39,4,0.13615465302453628,0.007000446319580078
40,4,0.13566038981286271,0.9045159816741943
41,1,0.13517153681046,1.396167278289795
42,9,0.13468803479713193,0.007315397262573242
43,2,0.13420982520090713,0.00718998908996582
44,1,0.13373685009094344,0.9035112857818604
45,2,0.13326905217051024,1.3968803882598877
46,4,0.13280637477004742,0.007210969924926758
47,1,0.13234876184030037,0.005985260009765625
48,0,0.13189615794552995,0.9036388397216797
