Episode,Reward,Epsilon,Duration
0,1,0.2044547046146616,0.006995201110839844
1,1,0.20321282846400565,0.0071773529052734375
2,1,0.2019845459001367,0.8413238525390625
3,1,0.20076970812753944,1.3106250762939453
4,2,0.19956816797941554,0.007651805877685547
5,1,0.1983797798998558,0.00600123405456543
6,1,0.19720439992620697,0.8406474590301514
7,5,0.19604188567163255,1.299164056777954
8,0,0.1948920963078632,0.007312297821044922
9,2,0.19375489254813735,0.8379220962524414
10,2,0.19263013663032716,1.310978651046753
11,0,0.1915176923002505,0.005999326705932617
12,1,0.1904174247951644,0.008029699325561523
13,1,0.18932920082744026,0.838892936706543
14,3,0.18825288856841668,1.297750473022461
15,6,0.18718835763243025,0.007295370101928711
16,0,0.1861354790610198,0.006186962127685547
17,3,0.1850941253073048,0.8403832912445068
18,4,0.18406417022053378,1.2937450408935547
19,2,0.18304548903080264,0.0073893070220947266
20,0,0.18203795833393943,0.007456064224243164
21,1,0.18104145607655564,0.008311986923217773
22,0,0.18005586154125985,1.2946250438690186
23,3,0.17908105533203444,0.006596088409423828
24,0,0.17811691935977156,0.8417153358459473
25,2,0.17716333682796764,1.2996466159820557
26,1,0.1762201922185747,0.0070645809173583984
27,2,0.17528737127800625,0.830937385559082
28,0,0.17436476100329662,0.8435924053192139
29,4,0.17345224962841138,1.2974939346313477
30,5,0.17254972661070817,0.007654428482055664
31,1,0.17165708261754525,0.006934642791748047
32,2,0.170774209513037,0.8407468795776367
33,1,0.169901000344954,1.2987639904022217
34,4,0.16903734933176695,0.007043600082397461
35,2,0.1681831518498319,0.006978750228881836
36,3,0.16733830442071637,0.841616153717041
37,2,0.16650270469866352,0.005940437316894531
38,2,0.16567625145819412,0.010189533233642578
39,1,0.16485884458184383,0.8404617309570312
40,2,0.16405038504803493,1.300154447555542
41,1,0.1632507749190808,0.007670402526855469
42,3,0.16245991732932138,0.8303766250610352
43,0,0.16167771647338916,0.8400230407714844
