Episode,Reward,Epsilon,Duration
0,1,0.9811895862341672,0.006750583648681641
1,0,0.9714455635384032,0.005948305130004883
2,0,0.961808198996996,0.00549006462097168
3,0,0.9522763251288922,0.0064678192138671875
4,1,0.9428487872322934,0.005968809127807617
5,1,0.9335244432447788,0.005865573883056641
6,0,0.9243021636049521,0.005846500396728516
7,0,0.9151808311156053,0.006132841110229492
8,0,0.9061593408083802,0.005882978439331055
9,0,0.8972365998099122,0.006073474884033203
10,0,0.8884115272094371,0.005852937698364258
11,0,0.8796830539278492,0.00552678108215332
12,1,0.8710501225881919,0.00608372688293457
13,1,0.8625116873875656,0.005503177642822266
14,0,0.8540667139704375,0.006104707717895508
15,1,0.84571417930334,0.0057086944580078125
16,1,0.837453071550938,0.006102085113525391
17,1,0.8292823899534543,0.005568981170654297
18,0,0.8212011447054369,0.0056972503662109375
19,1,0.8132083568358527,0.0057523250579833984
20,0,0.8053030580894935,0.006776332855224609
21,2,0.7974842908096808,0.00856471061706543
22,0,0.7897511078222542,0.006728172302246094
23,2,0.7821025723208298,0.09567141532897949
24,2,0.774537757753314,0.005666255950927734
25,0,0.7670557477096603,0.005877256393432617
26,1,0.7596556358108544,0.006470680236816406
27,0,0.7523365255991138,0.09592747688293457
28,0,0.7450975304292913,0.005517005920410156
29,2,0.7379377733614639,0.005683422088623047
30,3,0.7308563870547016,0.006829500198364258
31,0,0.7238525136619943,0.09634542465209961
32,0,0.7169253047263331,0.006009578704833984
33,1,0.7100739210779268,0.006455659866333008
34,2,0.7032975327325431,0.0071048736572265625
35,1,0.6965953187909651,0.09532618522644043
36,1,0.6899664673395448,0.005593299865722656
37,2,0.683410175351848,0.005752086639404297
38,3,0.6769256485913752,0.007127523422241211
39,1,0.6705121015153448,0.09663534164428711
40,5,0.664168757179535,0.005487203598022461
41,3,0.6578948471441605,0.00788259506225586
42,7,0.6516896113807856,0.0065610408782958984
43,6,0.645552298180251,0.09713220596313477
44,7,0.6394821640616126,0.005858898162841797
45,7,0.6334784736820755,0.005986690521240234
46,9,0.6275404997479129,0.008434772491455078
47,5,0.6216675229263608,0.09723305702209473
48,8,0.6158588317584783,0.006494760513305664
49,9,0.6101137225729599,0.005809783935546875
50,4,0.6044314994008918,0.0060577392578125
51,5,0.5988114738914421,0.09578347206115723
52,4,0.5932529652284728,0.0063512325286865234
53,5,0.5877553000480652,0.0064465999603271484
54,3,0.5823178123569476,0.0066792964935302734
55,8,0.576939843451816,0.0986032485961914
56,8,0.5716207418395388,0.005286455154418945
57,12,0.5663598631582334,0.006688356399536133
58,10,0.5611565700992078,0.0062139034271240234
59,11,0.5560102323297562,0.0963742733001709
60,7,0.5509202264168005,0.006181240081787109
61,11,0.5458859357513653,0.00641942024230957
62,10,0.540906750473883,0.0061969757080078125
63,9,0.5359820674003138,0.09627771377563477
64,9,0.5311112899490754,0.005733489990234375
65,6,0.5262938280687723,0.005866050720214844
66,7,0.5215290981667171,0.007292509078979492
