Episode,Reward,Epsilon,Duration
401,13,0.02,0
402,14,0.02,0
403,18,0.02,0
404,20,0.02,0
405,21,0.02,0
406,20,0.02,0
407,14,0.02,0
408,21,0.02,0
409,15,0.02,0
410,17,0.02,0
411,19,0.02,0
412,18,0.02,0
413,19,0.02,0
414,15,0.02,0
415,17,0.02,0
416,18,0.02,0
417,20,0.02,0
418,19,0.02,0
419,16,0.02,0
420,21,0.02,0
421,14,0.02,0
422,21,0.02,0
423,18,0.02,0
424,21,0.02,0
425,19,0.02,0
426,18,0.02,0
427,17,0.02,0
428,20,0.02,0
429,19,0.02,0
430,17,0.02,0
431,18,0.02,0
432,19,0.02,0
433,19,0.02,0
434,20,0.02,0
435,20,0.02,0
436,18,0.02,0
437,21,0.02,0
438,20,0.02,0
439,19,0.02,0
440,20,0.02,0
441,14,0.02,0
442,19,0.02,0
443,17,0.02,0
444,18,0.02,0
445,20,0.02,0
446,18,0.02,0
447,20,0.02,0
448,18,0.02,0
449,14,0.02,0
450,12,0.02,0
451,20,0.02,0
452,20,0.02,0
453,21,0.02,0
454,19,0.02,0
455,20,0.02,0
456,21,0.02,0
457,19,0.02,0
458,21,0.02,0
459,21,0.02,0
460,18,0.02,0
461,18,0.02,0
462,19,0.02,0
463,16,0.02,0
464,17,0.02,0
465,19,0.02,0
466,19,0.02,0
467,21,0.02,0
468,19,0.02,0
469,20,0.02,0
470,20,0.02,0
471,21,0.02,0
472,16,0.02,0
473,21,0.02,0
474,20,0.02,0
475,19,0.02,0
476,20,0.02,0
477,15,0.02,0
478,18,0.02,0
479,18,0.02,0
480,21,0.02,0
481,21,0.02,0
482,20,0.02,0
483,20,0.02,0
484,16,0.02,0
485,15,0.02,0
486,18,0.02,0
487,20,0.02,0
488,21,0.02,0
489,19,0.02,0
490,20,0.02,0
491,21,0.02,0
492,17,0.02,0
493,16,0.02,0
494,21,0.02,0
495,17,0.02,0
496,19,0.02,0
497,18,0.02,0
498,19,0.02,0
499,18,0.02,0
500,19,0.02,0
