Episode,Reward,Epsilon,Duration
440,18.0,0.02,0
440,18.0,0.02,0
441,12.0,0.02,0
442,18.0,0.02,0
443,16.0,0.02,0
444,16.0,0.02,0
445,16.0,0.02,0
446,19.0,0.02,0
447,19.0,0.02,0
448,15.0,0.02,0
449,13.0,0.02,0
450,19.0,0.02,0
451,17.0,0.02,0
452,20.0,0.02,0
453,17.0,0.02,0
454,18.0,0.02,0
455,20.0,0.02,0
456,16.0,0.02,0
457,15.0,0.02,0
458,19.0,0.02,0
459,19.0,0.02,0
460,20.0,0.02,0
440,18.0,0.02,0
441,12.0,0.02,0
442,18.0,0.02,0
443,16.0,0.02,0
444,16.0,0.02,0
445,16.0,0.02,0
446,19.0,0.02,0
447,19.0,0.02,0
448,15.0,0.02,0
449,13.0,0.02,0
450,19.0,0.02,0
451,17.0,0.02,0
452,20.0,0.02,0
453,17.0,0.02,0
454,18.0,0.02,0
455,20.0,0.02,0
456,16.0,0.02,0
457,15.0,0.02,0
458,19.0,0.02,0
459,19.0,0.02,0
460,20.0,0.02,0
461,16.0,0.02,0
462,15.0,0.02,0
463,18.0,0.02,0
464,13.0,0.02,0
465,15.0,0.02,0
466,18.0,0.02,0
467,17.0,0.02,0
468,17.0,0.02,0
469,18.0,0.02,0
470,16.0,0.02,0
471,9.0,0.02,0
472,12.0,0.02,0
473,9.0,0.02,0
474,13.0,0.02,0
475,17.0,0.02,0
476,10.0,0.02,0
477,15.0,0.02,0
478,15.0,0.02,0
479,18.0,0.02,0
480,17.0,0.02,0
440,18.0,0.02,0
441,12.0,0.02,0
442,18.0,0.02,0
443,16.0,0.02,0
444,16.0,0.02,0
445,16.0,0.02,0
446,19.0,0.02,0
447,19.0,0.02,0
448,15.0,0.02,0
449,13.0,0.02,0
450,19.0,0.02,0
451,17.0,0.02,0
452,20.0,0.02,0
453,17.0,0.02,0
454,18.0,0.02,0
455,20.0,0.02,0
456,16.0,0.02,0
457,15.0,0.02,0
458,19.0,0.02,0
459,19.0,0.02,0
460,20.0,0.02,0
461,16.0,0.02,0
462,15.0,0.02,0
463,18.0,0.02,0
464,13.0,0.02,0
465,15.0,0.02,0
466,18.0,0.02,0
467,17.0,0.02,0
468,17.0,0.02,0
469,18.0,0.02,0
470,16.0,0.02,0
471,9.0,0.02,0
472,12.0,0.02,0
473,9.0,0.02,0
474,13.0,0.02,0
475,17.0,0.02,0
476,10.0,0.02,0
477,15.0,0.02,0
478,15.0,0.02,0
479,18.0,0.02,0
480,17.0,0.02,0
481,15.0,0.02,0
482,17.0,0.02,0
483,17.0,0.02,0
484,12.0,0.02,0
485,18.0,0.02,0
486,18.0,0.02,0
487,19.0,0.02,0
488,17.0,0.02,0
489,18.0,0.02,0
490,12.0,0.02,0
491,15.0,0.02,0
492,10.0,0.02,0
493,16.0,0.02,0
494,10.0,0.02,0
495,17.0,0.02,0
496,15.0,0.02,0
497,16.0,0.02,0
498,19.0,0.02,0
499,17.0,0.02,0
500,19.0,0.02,0
440,18.0,0.02,0
441,12.0,0.02,0
442,18.0,0.02,0
443,16.0,0.02,0
444,16.0,0.02,0
445,16.0,0.02,0
446,19.0,0.02,0
447,19.0,0.02,0
448,15.0,0.02,0
449,13.0,0.02,0
450,19.0,0.02,0
451,17.0,0.02,0
452,20.0,0.02,0
453,17.0,0.02,0
454,18.0,0.02,0
455,20.0,0.02,0
456,16.0,0.02,0
457,15.0,0.02,0
458,19.0,0.02,0
459,19.0,0.02,0
460,20.0,0.02,0
461,16.0,0.02,0
462,15.0,0.02,0
463,18.0,0.02,0
464,13.0,0.02,0
465,15.0,0.02,0
466,18.0,0.02,0
467,17.0,0.02,0
468,17.0,0.02,0
469,18.0,0.02,0
470,16.0,0.02,0
471,9.0,0.02,0
472,12.0,0.02,0
473,9.0,0.02,0
474,13.0,0.02,0
475,17.0,0.02,0
476,10.0,0.02,0
477,15.0,0.02,0
478,15.0,0.02,0
479,18.0,0.02,0
480,17.0,0.02,0
481,15.0,0.02,0
482,17.0,0.02,0
483,17.0,0.02,0
484,12.0,0.02,0
485,18.0,0.02,0
486,18.0,0.02,0
487,19.0,0.02,0
488,17.0,0.02,0
489,18.0,0.02,0
490,12.0,0.02,0
491,15.0,0.02,0
492,10.0,0.02,0
493,16.0,0.02,0
494,10.0,0.02,0
495,17.0,0.02,0
496,15.0,0.02,0
497,16.0,0.02,0
498,19.0,0.02,0
499,17.0,0.02,0
500,19.0,0.02,0
