Episode,Reward,Epsilon,Duration
0,-20,0.980511270058319,0
1,-21,0.97136085637725,0
2,-21,0.962647564686736,0
3,-21,0.952514937757856,0
4,-19,0.940785059536541,0
5,-20,0.930673046024282,0
6,-21,0.919309248007034,0
7,-20,0.910269562926954,0
8,-21,0.901483928977028,0
9,-21,0.892702766884531,0
10,-20,0.883666143047284,0
11,-21,0.874403609112744,0
12,-21,0.865505127672698,0
13,-18,0.854819445141878,0
14,-18,0.843048630021627,0
15,-19,0.833477176400596,0
16,-20,0.824493701727872,0
17,-18,0.81478341415341,0
18,-21,0.807746614228772,0
19,-20,0.799852610963597,0
20,-21,0.791613798140182,0
21,-21,0.78424476128601,0
22,-21,0.775877835816092,0
23,-21,0.768927937430418,0
24,-20,0.759681773330803,0
25,-20,0.749815622059728,0
26,-21,0.743347023450786,0
27,-19,0.733371122540875,0
28,-20,0.723087624707921,0
29,-20,0.715048980144424,0
30,-19,0.704906041446713,0
31,-19,0.696408472150319,0
32,-17,0.685701123517208,0
33,-18,0.677346290670133,0
34,-21,0.67108527516461,0
35,-20,0.663234424680169,0
36,-19,0.654964437641895,0
37,-21,0.647671944075993,0
38,-21,0.640672394695058,0
39,-18,0.631692762780641,0
40,-20,0.625392561596184,0
41,-16,0.615298499089668,0
42,-20,0.606913791686533,0
43,-21,0.599872773216741,0
44,-19,0.593471928939122,0
45,-18,0.586012483010052,0
46,-20,0.577510831749428,0
47,-20,0.568723017500626,0
48,-19,0.561066136457971,0
49,-16,0.550457837248597,0
50,-21,0.543063625969572,0
51,-16,0.533464263765547,0
52,-21,0.525815632282094,0
53,-18,0.516404586381894,0
54,-19,0.509740927302955,0
55,-20,0.502909658427938,0
56,-20,0.49523276341271,0
57,-18,0.487246897451384,0
58,-15,0.478243346295934,0
59,-17,0.470108118175898,0
60,-18,0.463025708911767,0
61,-15,0.453294210648898,0
62,-15,0.443008793319806,0
63,-15,0.434195332451533,0
64,-19,0.427334466486884,0
65,-19,0.420929669477398,0
66,-14,0.410767837337534,0
67,-17,0.402913721334034,0
68,-16,0.393727116870245,0
69,-18,0.386987143542513,0
70,-18,0.379144529870201,0
71,-20,0.371165816144038,0
72,-19,0.36476925568324,0
73,-12,0.356885817610035,0
74,-18,0.349826113800289,0
75,-17,0.344511314885335,0
76,-21,0.339783966180248,0
77,-18,0.333410957415152,0
78,-15,0.32605377780685,0
79,-18,0.320506644925584,0
80,-19,0.315190334097682,0
81,-16,0.308959054060014,0
82,-19,0.303414927051085,0
83,-19,0.299135613811988,0
