Episode,Reward,Epsilon,Duration
180,15,0.02771342454932,0
181,9,0.027198518635044,0
182,18,0.026837998304036,0
183,12,0.026382517140432,0
184,11,0.025930628534885,0
185,17,0.025584063919537,0
186,15,0.025197921484297,0
187,17,0.024873072915125,0
188,17,0.024559558117441,0
189,16,0.024219291812037,0
190,18,0.023913113661735,0
191,17,0.023611151719732,0
192,16,0.023284468189537,0
193,15,0.022981330814953,0
194,14,0.022658078861406,0
195,12,0.022340206547998,0
196,17,0.02206263248268,0
197,13,0.021759553935677,0
198,17,0.021511783272542,0
199,15,0.021224174416042,0
200,19,0.021002296055428,0
201,16,0.020760660363239,0
202,11,0.020496652965527,0
203,18,0.020270732856029,0
204,14,0.020029039394087,0
205,14,0.02,0
206,9,0.02,0
207,18,0.02,0
208,17,0.02,0
209,12,0.02,0
210,14,0.02,0
211,20,0.02,0
212,16,0.02,0
213,19,0.02,0
214,13,0.02,0
215,20,0.02,0
216,18,0.02,0
217,17,0.02,0
218,18,0.02,0
219,18,0.02,0
220,19,0.02,0
221,21,0.02,0
222,16,0.02,0
223,20,0.02,0
224,20,0.02,0
225,18,0.02,0
226,19,0.02,0
227,15,0.02,0
228,18,0.02,0
229,13,0.02,0
230,17,0.02,0
231,10,0.02,0
232,15,0.02,0
233,13,0.02,0
234,19,0.02,0
235,18,0.02,0
236,19,0.02,0
237,12,0.02,0
238,16,0.02,0
239,7,0.02,0
240,19,0.02,0
241,19,0.02,0
242,20,0.02,0
243,19,0.02,0
244,20,0.02,0
245,18,0.02,0
246,15,0.02,0
247,8,0.02,0
248,11,0.02,0
249,20,0.02,0
250,19,0.02,0
251,17,0.02,0
252,16,0.02,0
253,19,0.02,0
254,20,0.02,0
255,21,0.02,0
256,12,0.02,0
257,13,0.02,0
258,20,0.02,0
259,16,0.02,0
260,17,0.02,0
261,18,0.02,0
262,19,0.02,0
263,18,0.02,0
264,19,0.02,0
265,17,0.02,0
266,20,0.02,0
267,21,0.02,0
268,14,0.02,0
269,21,0.02,0
270,20,0.02,0
271,15,0.02,0
272,18,0.02,0
273,20,0.02,0
274,16,0.02,0
275,21,0.02,0
276,21,0.02,0
277,21,0.02,0
278,21,0.02,0
279,20,0.02,0
280,21,0.02,0
281,21,0.02,0
282,20,0.02,0
283,15,0.02,0
284,18,0.02,0
285,17,0.02,0
286,11,0.02,0
287,14,0.02,0
288,13,0.02,0
289,19,0.02,0
290,21,0.02,0
291,21,0.02,0
292,17,0.02,0
293,20,0.02,0
294,18,0.02,0
295,17,0.02,0
296,13,0.02,0
297,20,0.02,0
298,18,0.02,0
299,18,0.02,0
300,15,0.02,0
301,18,0.02,0
302,18,0.02,0
303,16,0.02,0
304,20,0.02,0
305,20,0.02,0
306,19,0.02,0
307,18,0.02,0
308,19,0.02,0
309,18,0.02,0
310,21,0.02,0
311,20,0.02,0
312,18,0.02,0
313,21,0.02,0
314,15,0.02,0
315,20,0.02,0
316,20,0.02,0
317,15,0.02,0
318,18,0.02,0
319,17,0.02,0
320,19,0.02,0
321,18,0.02,0
322,20,0.02,0
323,16,0.02,0
324,17,0.02,0
325,17,0.02,0
326,19,0.02,0
327,17,0.02,0
328,18,0.02,0
329,18,0.02,0
330,19,0.02,0
331,19,0.02,0
332,18,0.02,0
333,19,0.02,0
334,19,0.02,0
335,19,0.02,0
336,18,0.02,0
337,19,0.02,0
338,17,0.02,0
339,16,0.02,0
340,14,0.02,0
341,16,0.02,0
342,18,0.02,0
343,19,0.02,0
344,17,0.02,0
345,17,0.02,0
346,17,0.02,0
347,18,0.02,0
348,21,0.02,0
349,12,0.02,0
350,21,0.02,0
351,20,0.02,0
352,16,0.02,0
353,21,0.02,0
354,16,0.02,0
355,14,0.02,0
356,18,0.02,0
357,20,0.02,0
358,14,0.02,0
359,21,0.02,0
360,18,0.02,0
361,19,0.02,0
362,20,0.02,0
363,19,0.02,0
364,19,0.02,0
365,18,0.02,0
366,21,0.02,0
367,13,0.02,0
368,20,0.02,0
369,12,0.02,0
370,21,0.02,0
371,20,0.02,0
372,19,0.02,0
373,17,0.02,0
374,21,0.02,0
375,13,0.02,0
376,18,0.02,0
377,18,0.02,0
378,19,0.02,0
379,16,0.02,0
380,18,0.02,0
381,12,0.02,0
382,19,0.02,0
383,20,0.02,0
384,9,0.02,0
385,15,0.02,0
386,21,0.02,0
387,11,0.02,0
388,17,0.02,0
389,17,0.02,0
390,20,0.02,0
391,17,0.02,0
392,19,0.02,0
393,19,0.02,0
394,8,0.02,0
395,19,0.02,0
396,13,0.02,0
397,18,0.02,0
398,16,0.02,0
399,17,0.02,0
400,18,0.02,0
