Episode,Reward,Epsilon,Duration
500,-21.0,0.02,0
501,-21.0,0.02,0
502,-21.0,0.02,0
503,-21.0,0.02,0
504,-21.0,0.02,0
505,-21.0,0.02,0
506,-21.0,0.02,0
507,-21.0,0.02,0
508,-21.0,0.02,0
509,-21.0,0.02,0
510,-21.0,0.02,0
511,-21.0,0.02,0
512,-21.0,0.02,0
513,-21.0,0.02,0
514,-21.0,0.02,0
515,-21.0,0.02,0
516,-21.0,0.02,0
517,-21.0,0.02,0
518,-21.0,0.02,0
519,-21.0,0.02,0
520,-21.0,0.02,0
521,-21.0,0.02,0
522,-21.0,0.02,0
523,-21.0,0.02,0
524,-21.0,0.02,0
525,-21.0,0.02,0
526,-21.0,0.02,0
527,-21.0,0.02,0
528,-21.0,0.02,0
529,-21.0,0.02,0
530,-21.0,0.02,0
531,-21.0,0.02,0
532,-21.0,0.02,0
533,-21.0,0.02,0
534,-21.0,0.02,0
535,-21.0,0.02,0
536,-21.0,0.02,0
537,-21.0,0.02,0
538,-21.0,0.02,0
539,-21.0,0.02,0
540,-21.0,0.02,0
541,-21.0,0.02,0
542,-21.0,0.02,0
543,-21.0,0.02,0
544,-21.0,0.02,0
545,-21.0,0.02,0
546,-21.0,0.02,0
547,-21.0,0.02,0
548,-21.0,0.02,0
549,-21.0,0.02,0
550,-21.0,0.02,0
